ticker,name,close,gross_margin_ttm,operating_margin_ttm,net_margin_ttm,ebitda_margin_ttm
OTC:NSRGF,NSRGF,99.1700,46.44%,16.74%,11.38%,20.74%
NYSE:AXP,AXP,359.1100,61.04%,20.60%,13.31%,29.34%
NYSE:CAT,CAT,524.5700,34.47%,18.54%,14.95%,22.02%
NYSE:PM,PM,157.6700,68.63%,33.79%,21.57%,
NASDAQ:TMUS,TMUS,217.0100,48.53%,22.64%,13.83%,37.67%
NASDAQ:MU,MU,216.4950,40.06%,26.67%,22.84%,49.02%
NYSE:CRM,CRM,254.2500,69.91%,21.22%,16.87%,35.12%
NYSE:RTX,RTX,179.0850,20.13%,9.83%,7.67%,14.90%
OTC:NVSEF,NVSEF,125.8500,75.37%,32.12%,25.60%,43.22%
OTC:CTATF,CTATF,69.9300,26.93%,13.44%,16.55%,
NYSE:GS,GS,779.1300,,14.43%,13.59%,
OTC:NONOF,NONOF,52.4280,83.95%,46.40%,35.61%,51.54%
OTC:LRLCF,LRLCF,435.2863,74.04%,20.03%,13.96%,23.73%
NYSE:GS/PA,GS/PA,21.2100,,14.43%,13.59%,
NYSE:GS/PC,GS/PC,20.9300,,14.43%,13.59%,
NYSE:GS/PD,GS/PD,20.6600,,14.43%,13.59%,
NASDAQ:SHOP,SHOP,174.0750,49.20%,15.39%,22.99%,15.71%
OTC:HBCYF,HBCYF,13.1450,,17.13%,12.54%,
OTC:SFTBF,SFTBF,151.0960,51.45%,9.85%,23.52%,21.68%
OTC:SMAWF,SMAWF,281.7500,38.60%,11.95%,10.06%,16.13%
NYSE:ABT,ABT,126.6730,58.38%,17.75%,31.79%,
NYSE:MRK,MRK,87.6900,75.25%,35.05%,25.87%,42.20%
NYSE:MCD,MCD,306.1750,56.73%,46.08%,32.21%,54.33%
NYSE:TMO,TMO,574.1500,39.67%,18.59%,15.04%,24.98%
OTC:RYDAF,RYDAF,36.6500,17.01%,12.14%,4.95%,20.15%
NASDAQ:APP,APP,623.8400,79.52%,56.29%,44.81%,62.96%
NASDAQ:LIN,LIN,446.9400,37.24%,26.88%,20.20%,38.08%
NYSE:RY,RY,148.1099,,16.80%,14.17%,
NASDAQ:PEP,PEP,151.6850,54.21%,14.65%,7.82%,19.05%
OTC:PCCYF,PCCYF,0.9200,16.90%,7.73%,5.78%,16.68%
OTC:BACHF,BACHF,0.5500,,23.80%,18.94%,
NYSE:DIS,DIS,111.9450,31.80%,14.42%,12.27%,19.96%
NYSE:UBER,UBER,95.0200,32.46%,10.67%,26.68%,12.19%
NYSE:NOW,NOW,936.5700,78.52%,13.28%,13.78%,17.87%
NASDAQ:ISRG,ISRG,549.0451,70.79%,29.30%,28.58%,
OTC:EADSF,EADSF,244.5000,15.36%,7.30%,7.04%,11.32%
NYSE:ANET,ANET,153.7000,64.24%,43.14%,40.89%,43.86%
NASDAQ:LRCX,LRCX,152.6700,49.31%,33.00%,29.66%,35.01%
NASDAQ:INTU,INTU,686.4550,77.01%,26.22%,20.55%,30.52%
NYSE:BX,BX,155.2200,99.32%,49.57%,19.51%,49.94%
OTC:CBAUF,CBAUF,112.2500,,21.04%,14.49%,
NYSE:BLK,BLK,1134.5000,82.42%,35.96%,25.91%,
NASDAQ:QCOM,QCOM,170.3100,55.68%,28.09%,26.75%,31.95%
NASDAQ:AMAT,AMAT,229.7550,48.50%,30.14%,23.88%,31.64%
NYSE:C,C,99.0500,,11.94%,8.56%,
NASDAQ:INTC,INTC,38.6601,51.37%,0.03%,0.37%,21.22%
NYSE:T,T,25.0950,42.70%,19.56%,17.87%,36.54%
OTC:IDEXF,IDEXF,56.8025,49.55%,19.57%,15.12%,27.83%
NYSE:T/PC,T/PC,19.9000,42.70%,19.56%,17.87%,36.54%
NYSE:T/PA,T/PA,21.0800,42.70%,19.56%,17.87%,36.54%
NYSE:TBB,TBB,23.2450,42.70%,19.56%,17.87%,36.54%
OTC:SNEJF,SNEJF,28.6260,29.43%,11.70%,9.30%,20.92%
NYSE:NEE,NEE,84.6310,36.79%,27.30%,23.56%,53.18%
NYSE:SCHW,SCHW,94.7000,82.33%,46.25%,30.32%,51.34%
NYSE:SCHW/PD,SCHW/PD,25.3300,82.33%,46.25%,30.32%,51.34%
NYSE:SCHW/PJ,SCHW/PJ,19.9736,82.33%,46.25%,30.32%,51.34%
NYSE:NEE/PT,NEE/PT,51.3600,36.79%,27.30%,23.56%,53.18%
NYSE:NEE/PS,NEE/PS,54.1050,36.79%,27.30%,23.56%,53.18%
NYSE:BA,BA,221.3801,-0.27%,-12.40%,-14.18%,-9.90%
OTC:ESLOF,ESLOF,361.9800,62.89%,12.97%,8.74%,24.32%
OTC:SBGSF,SBGSF,295.0000,42.65%,16.83%,10.94%,20.88%
NASDAQ:BKNG,BKNG,5109.0000,96.92%,33.26%,19.23%,36.34%
NYSE:BA/PA,BA/PA,70.5800,-0.27%,-12.40%,-14.18%,-9.90%
OTC:DTEGF,DTEGF,33.6300,24.98%,22.30%,10.69%,42.44%
NYSE:VZ,VZ,38.7950,46.08%,22.93%,13.28%,36.20%
NYSE:APH,APH,133.5100,35.94%,24.64%,18.22%,28.53%
NYSE:GEV,GEV,594.0950,19.66%,3.88%,4.52%,6.26%
NYSE:TJX,TJX,142.6300,30.62%,11.24%,8.59%,13.28%
NYSE:DHR,DHR,223.3900,61.79%,22.59%,14.43%,32.56%
NASDAQ:AMGN,AMGN,291.1400,68.86%,27.90%,19.04%,43.78%
OTC:MBFJF,MBFJF,13.8295,,15.03%,15.40%,
NASDAQ:KLAC,KLAC,1185.7700,61.01%,42.75%,33.43%,45.99%
NASDAQ:TXN,TXN,169.5330,57.48%,34.82%,29.05%,45.69%
OTC:XIACF,XIACF,5.9200,21.65%,6.97%,8.67%,8.68%
NYSE:ACN,ACN,247.6800,31.90%,15.55%,11.02%,17.99%
OTC:ALIZF,ALIZF,397.8400,,,5.69%,
OTC:CILJF,CILJF,3.1450,,22.79%,24.39%,
OTC:CIHHF,CIHHF,6.4000,,35.69%,30.28%,
NYSE:BSX,BSX,101.5000,68.99%,17.87%,14.43%,
NYSE:SPGI,SPGI,491.2550,61.63%,40.34%,27.30%,48.38%
NASDAQ:GILD,GILD,120.7700,78.49%,38.09%,21.91%,47.71%
OTC:UNLYF,UNLYF,61.0700,,18.20%,9.30%,21.23%
NASDAQ:ADBE,ADBE,354.1650,88.43%,36.58%,30.01%,40.35%
NYSE:ETN,ETN,377.9400,38.15%,19.80%,15.11%,23.49%
NASDAQ:PANW,PANW,217.3200,73.41%,12.27%,12.30%,21.73%
OTC:PROSF,PROSF,67.1000,40.16%,2.59%,203.03%,4.95%
OTC:SAFRF,SAFRF,351.6820,16.01%,14.14%,14.71%,19.01%
NYSE:SYK,SYK,379.7500,62.19%,22.72%,12.25%,27.34%
OTC:BCDRF,BCDRF,9.6652,,16.44%,11.38%,
NYSE:COF,COF,223.9900,,-1.81%,-0.11%,
NYSE:COF/PN,COF/PN,17.7101,,-1.81%,-0.11%,
NYSE:COF/PL,COF/PL,17.8000,,-1.81%,-0.11%,
NYSE:COF/PI,COF/PI,20.3250,,-1.81%,-0.11%,
NYSE:COF/PJ,COF/PJ,19.5099,,-1.81%,-0.11%,
NYSE:COF/PK,COF/PK,18.8300,,-1.81%,-0.11%,
NYSE:PFE,PFE,24.7350,67.34%,29.60%,16.81%,40.23%
