ticker,name,close,change,change_abs,volume,market_cap_basic,price_earnings_ttm,sector,industry
OTC:ARRXF,ARRXF,0.264468,-5.547142857142873,-0.015532000000000046,2000,67398880.96705185,,Electronic Technology,Semiconductors
OTC:TRZBF,TRZBF,1.67,-18.932038834951463,-0.3900000000000001,1000,67330485.02192983,0.3397486798939926,Consumer Services,Other Consumer Services
OTC:DBOXF,DBOXF,0.30285,2.428382994554747,0.00718000000000002,10700,67326451.41361447,14.885245740489985,Consumer Durables,Electronics/Appliances
NASDAQ:MGRT,MGRT,4.89,0,0,26346,67237500,428.9473684210526,Technology Services,Information Technology Services
OTC:MEDXF,MEDXF,2.084,1.4605647517040043,0.03000000000000025,3625,67226410.54035088,69.03416760661126,Health Technology,Pharmaceuticals: Major
NASDAQ:DWSN,DWSN,2.16,1.408450704225364,0.03000000000000025,64530,67063252.056338035,,Technology Services,Data Processing Services
NASDAQ:BRAG,BRAG,2.63,-0.3787878787878875,-0.010000000000000231,11984,66932128.69376694,,Technology Services,Packaged Software
OTC:MHUBF,MHUBF,0.7381,0.5174996595397011,0.0038000000000000256,221811,66931860.952871285,,Technology Services,Data Processing Services
OTC:IQEPF,IQEPF,0.06845,-8.733333333333334,-0.00655,15000,66913158.72179876,,Producer Manufacturing,Industrial Machinery
NASDAQ:JSPR,JSPR,2.395,2.7896995708154484,0.06499999999999995,54126,66878073.538626604,,Health Technology,Biotechnology
OTC:FRHYF,FRHYF,0.1297,-26.59875495189586,-0.046999999999999986,819,66823267.23118645,,Industrial Services,Engineering & Construction
OTC:ALTHF,ALTHF,0.025,-1.9607843137254783,-0.000499999999999997,40000,66710654.60526315,,Process Industries,Chemicals: Specialty
OTC:ALGEF,ALGEF,0.015,-16.666666666666664,-0.002999999999999999,555000,66555513.599999994,,Non-Energy Minerals,Other Metals/Minerals
OTC:CMHF,CMHF,29.52,2.6068821689259645,0.75,12000,66458964.362381354,10.817545531166404,Finance,Regional Banks
OTC:PMMCF,PMMCF,0.31473,2.97577175388945,0.00909500000000002,36530,66456172.837241374,,Non-Energy Minerals,Other Metals/Minerals
NASDAQ:RIBB,RIBB,10.27,0,0,719,66446900.00000001,20540,Finance,Financial Conglomerates
OTC:BCHT,BCHT,0.68585,-0.9459849797804818,-0.006550000000000056,3320,66435618.01321491,,Technology Services,Packaged Software
NASDAQ:LVO,LVO,5.755,2.0390070921985854,0.11500000000000021,47591,66420371.292553194,,Commercial Services,Commercial Printing/Forms
OTC:NUVR,NUVR,12.7261,0.44277821625888475,0.056100000000000705,241,66371033.99552486,,Communications,Major Telecommunications
OTC:GDTRF,GDTRF,0.688,1.4898952647883168,0.010099999999999998,1300,66255635.647999994,,Non-Energy Minerals,Precious Metals
OTC:LTMCF,LTMCF,0.32,1.8848700967906202,0.005919999999999981,5480,66175187.63636363,55.85519540591019,Non-Energy Minerals,Other Metals/Minerals
NASDAQ:LPSN,LPSN,6.5875,-1.2368815592203835,-0.08249999999999957,81529,66135905.49287856,,Technology Services,Packaged Software
OTC:KPTSF,KPTSF,6.602,-2.481536189069413,-0.16799999999999926,496,66073863.18957448,20.285324986914556,Consumer Non-Durables,Household/Personal Care
OTC:SSGC,SSGC,0.3578,0.59038515603036,0.0020999999999999908,71026,65991105.03795333,,Technology Services,Packaged Software
NASDAQ:OCG,OCG,3.18,-2.453987730061338,-0.07999999999999963,2006,65933892.71779143,,Retail Trade,Specialty Stores
NASDAQ:BZFD,BZFD,1.78,6.586826347305395,0.1100000000000001,253568,65926207.47305391,,Technology Services,Internet Software/Services
OTC:FSMK,FSMK,30,0,0,869,65878077.09677418,9.377930603313535,Finance,Regional Banks
NASDAQ:CRVO,CRVO,7.11,0.4237288135593255,0.03000000000000025,16348,65786830.56355932,,Commercial Services,Miscellaneous Commercial Services
